run,model_path,w_wait,w_queue,w_speed,w_pressure,w_ttc,w_qlen,waiting,queue,speed,pressure_abs,ttc_conflicts,queue_length,pareto
1,models/dqn_workzone_w01.zip,0.21222070816665117,0.20621664124852415,0.4210081166556575,0.02469758332756058,0.007629872942727772,0.12822707765887872,69.18333333333334,5.708333333333333,0.3249414622696492,18.125,2.0833333333333335,0.0,False
2,models/dqn_workzone_w02.zip,0.20437572344625715,0.4528709551837848,0.022987603811187293,0.151700420454212,0.010209838626930399,0.15785545847762833,11.233333333333333,3.3333333333333335,0.4712162333141987,9.208333333333334,0.8333333333333334,0.1209968944469253,True
3,models/dqn_workzone_w03.zip,0.3367081297675443,0.07524321301077126,0.47903697060243916,0.02990578564929163,0.017809925073275893,0.061295975896677755,13.033333333333333,4.083333333333333,0.3845926781343591,14.375,2.25,0.0,False
4,models/dqn_workzone_w04.zip,0.1269725923582353,0.0581867067095436,0.3514956836910926,0.031500326671021726,0.258956987088031,0.17288770348207577,23.95,4.708333333333333,0.3962178571089581,12.25,2.4583333333333335,0.0,False
5,models/dqn_workzone_w05.zip,0.22446841039729915,0.14276202963053783,0.3103279866576351,0.026382260055946922,0.06148521358637654,0.23457409967220447,32.01666666666667,4.625,0.4071903611376171,14.208333333333334,1.0833333333333333,0.0,False
6,models/dqn_workzone_w06.zip,0.08812724776111099,0.28663940327576787,0.3212786411555656,0.05394694682543425,0.1045446674896332,0.14546309349248804,11.533333333333333,3.1666666666666665,0.495118972802101,9.375,1.0,0.0,True
7,models/dqn_workzone_w07.zip,0.06314560734076222,0.059119567307062734,0.3228284839823624,0.0545348821811338,0.24493681848764515,0.25543464070103367,25.15833333333333,5.166666666666667,0.39514729209539895,14.583333333333334,1.2083333333333333,1.0385592205017673,False
8,models/dqn_workzone_w08.zip,0.17537047351655205,0.011813686605598646,0.36691280647717794,0.21908923026688915,0.18151067589430198,0.04530312723948016,13.716666666666667,4.208333333333333,0.38569081338144473,12.416666666666666,1.0833333333333333,0.0,False
9,models/dqn_workzone_w09.zip,0.11891140586136462,0.061407501831818,0.26259340427818756,0.007832579261752489,0.0620079158968289,0.48724719287004853,26.483333333333334,4.791666666666667,0.36805288952930565,16.583333333333332,2.4583333333333335,0.0,False
10,models/dqn_workzone_w10.zip,0.6641765243015219,0.09367157206593275,0.09442643092790004,0.066115235342161,0.06006247764484687,0.021547759717637494,20.65833333333333,4.625,0.3870727668171637,13.333333333333334,1.0,0.0,False
11,models/dqn_workzone_w11.zip,0.07452601445699697,0.09464982233615009,0.20745573318945565,0.3652868278078417,0.14492508856222622,0.11315651364732934,52.38333333333333,5.625,0.40294123007006705,14.541666666666666,0.375,0.10943497532637281,True
12,models/dqn_workzone_w12.zip,0.216902862199694,0.12316362605445601,0.018480464396421408,0.1988419513080001,0.12916230992552002,0.31344878611590843,20.083333333333332,4.666666666666667,0.37936559840901046,14.458333333333334,1.2083333333333333,0.11072380848995778,False
13,models/dqn_workzone_w13.zip,0.300049721250902,0.04913070887707402,0.014721576322143184,0.13683059048554322,0.3777870718956908,0.12148033116864686,33.975,4.791666666666667,0.3986203129530923,14.375,0.75,1.4643621830013427,False
14,models/dqn_workzone_w14.zip,0.35062088448475526,0.12389947088445641,0.4324036634234383,0.0475157498085975,0.02211673325087513,0.02344349814787765,14.358333333333334,4.083333333333333,0.41154794178435417,16.791666666666668,1.7083333333333333,0.9384372901191895,False
15,models/dqn_workzone_w15.zip,0.021893376986661665,0.010171274860907718,0.6387029502621807,0.08345941387395453,0.07183506781765359,0.1739379161986418,34.38333333333333,4.375,0.44615166583994276,11.333333333333334,0.5,0.0,True
16,models/dqn_workzone_w16.zip,0.03256640904013758,0.33359718678166783,0.44935056907892557,0.057256270190813835,0.0348835576401913,0.0923460072682638,73.26666666666667,6.916666666666667,0.3524498488733729,19.583333333333332,1.3333333333333333,0.1048846117013819,False
17,models/dqn_workzone_w17.zip,0.03943055447415964,0.00979697001937544,0.13027317132578906,0.29128552653124123,0.1304969947320498,0.3987167829173847,28.375,4.916666666666667,0.42500572135581666,13.25,1.0833333333333333,0.0,False
18,models/dqn_workzone_w18.zip,0.22636213521494072,0.1236534623333967,0.40940113359200375,0.08040802506124997,0.11811807051099953,0.04205717328740932,21.733333333333334,4.0,0.43225402434219634,13.666666666666666,1.25,0.10482766125363459,False
19,models/dqn_workzone_w19.zip,0.05329502123780143,0.5218500861801917,0.06827033371476394,0.04571509722208737,0.07548061230891999,0.2353888493362356,16.09166666666667,4.208333333333333,0.41228620734355986,12.875,0.7083333333333334,0.21135424673056727,True
20,models/dqn_workzone_w20.zip,0.04984933713901773,0.08244997291346216,0.5203160011531087,0.18570921953323855,0.14108355029772,0.020591918963452756,25.64166666666667,4.875,0.3876402563332499,15.916666666666666,1.7083333333333333,0.21609666037594147,False
