episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,25.00,car_flow_E#10.0,12.353,15.507,1,,260.000,0.000,0
1,30.00,car_flow_E#10.1,6.648,11.625,0,,260.000,0.000,0
1,30.00,car_flow_E#10.0,89.893,15.387,1,,260.000,0.000,0
1,35.00,car_flow_E#10.2,24.025,11.003,0,,260.000,0.000,0
1,35.00,car_flow_E#10.1,65.172,11.645,0,,260.000,0.000,0
1,35.00,car_flow_E#10.3,30.989,12.853,1,,260.000,0.000,0
1,35.00,car_flow_E#10.0,167.551,15.573,1,,260.000,0.000,0
1,40.00,car_flow_E#10.4,28.929,15.891,0,,260.000,0.000,0
1,40.00,car_flow_E#10.2,78.609,10.953,0,,260.000,0.000,0
1,40.00,car_flow_E#10.1,123.824,11.710,0,,260.000,0.000,0
1,40.00,car_flow_E#10.3,95.281,12.989,1,,260.000,0.000,0
1,40.00,car_flow_E#10.0,215.810,9.878,1,,260.000,0.000,0
1,45.00,car_flow_E#10.5,56.461,14.295,0,,260.000,0.000,0
1,45.00,car_flow_E#10.4,102.940,13.302,0,,260.000,0.000,0
1,45.00,car_flow_E#10.2,133.294,11.066,0,,260.000,0.000,0
1,45.00,car_flow_E#10.1,182.469,11.601,0,,260.000,0.000,0
1,45.00,car_flow_E#10.3,159.671,12.870,1,,260.000,0.000,0
1,45.00,car_flow_E#10.0,286.395,15.475,1,,260.000,0.000,0
1,50.00,car_flow_E#10.5,127.453,14.318,0,,260.000,0.000,0
1,50.00,car_flow_E#10.2,187.905,10.970,0,,260.000,0.000,0
1,50.00,car_flow_E#10.1,241.300,11.880,0,,260.000,0.000,0
1,50.00,car_flow_E#10.4,166.099,10.639,1,,260.000,0.000,0
1,50.00,car_flow_E#10.3,194.518,7.165,1,,260.000,0.000,0
1,55.00,car_flow_E#10.6,25.085,13.894,0,,260.000,0.000,0
1,55.00,car_flow_E#10.5,198.444,14.121,0,,260.000,0.000,0
1,55.00,car_flow_E#10.2,242.689,11.027,0,,260.000,0.000,0
1,55.00,car_flow_E#10.1,299.991,11.655,0,,260.000,0.000,0
1,55.00,car_flow_E#10.4,193.926,6.546,1,,260.000,0.000,0
1,55.00,car_flow_E#10.3,252.920,12.811,1,,260.000,0.000,0
1,60.00,car_flow_E#10.7,61.799,14.560,0,,260.000,0.000,0
1,60.00,car_flow_E#10.6,94.983,13.823,0,,260.000,0.000,0
1,60.00,car_flow_E#10.5,268.250,13.204,0,,260.000,0.000,0
1,60.00,car_flow_E#10.2,297.428,11.041,0,,260.000,0.000,0
1,60.00,car_flow_E#10.1,354.705,7.147,0,,260.000,0.000,0
1,60.00,car_flow_E#10.8,52.181,15.952,1,,260.000,0.000,0
1,60.00,car_flow_E#10.4,255.255,15.991,1,,260.000,0.000,0
1,60.00,car_flow_E#10.3,317.326,12.767,1,,260.000,0.000,0
1,65.00,car_flow_E#10.7,133.924,14.387,0,,260.000,0.000,0
1,65.00,car_flow_E#10.6,164.771,14.062,0,,260.000,0.000,0
1,65.00,car_flow_E#10.5,330.081,11.746,0,,260.000,0.000,0
1,65.00,car_flow_E#10.2,352.154,10.982,0,,260.000,0.000,0
1,65.00,car_flow_E#10.8,131.768,15.917,1,,260.000,0.000,0
1,65.00,car_flow_E#10.4,329.162,10.955,1,,260.000,0.000,0
1,65.00,car_flow_E#10.3,362.608,2.494,1,,260.000,0.000,0
1,70.00,car_flow_E#10.7,205.969,14.283,0,,260.000,0.000,2
1,70.00,car_flow_E#10.6,234.500,14.020,0,,260.000,0.000,2
1,70.00,car_flow_E#10.5,356.027,0.284,0,,260.000,0.000,2
1,70.00,car_flow_E#10.2,362.783,0.000,0,,260.000,0.000,2
1,70.00,car_flow_E#10.8,174.409,5.208,1,,260.000,0.000,2
1,70.00,car_flow_E#10.4,353.688,2.655,1,,260.000,0.000,2
1,70.00,car_flow_E#10.3,363.403,0.000,1,,260.000,0.000,2
1,75.00,car_flow_E#10.9,38.643,15.261,0,,260.000,0.000,2
1,75.00,car_flow_E#10.7,278.150,14.301,0,,260.000,0.000,2
1,75.00,car_flow_E#10.6,304.243,13.943,0,,260.000,0.000,2
1,75.00,car_flow_E#10.5,356.281,0.002,0,,260.000,0.000,2
1,75.00,car_flow_E#10.2,362.783,0.000,0,,260.000,0.000,2
1,75.00,car_flow_E#10.8,194.951,6.843,1,,260.000,0.000,2
1,75.00,car_flow_E#10.4,356.881,0.025,1,,260.000,0.000,2
1,75.00,car_flow_E#10.3,363.403,0.000,1,,260.000,0.000,2
1,80.00,car_flow_E#10.10,44.181,12.872,0,,260.000,0.000,2
1,80.00,car_flow_E#10.9,114.853,15.271,0,,260.000,0.000,2
1,80.00,car_flow_E#10.7,329.511,5.943,0,,260.000,0.000,2
1,80.00,car_flow_E#10.6,345.457,3.289,0,,260.000,0.000,2
1,80.00,car_flow_E#10.5,356.282,0.000,0,,260.000,0.000,2
1,80.00,car_flow_E#10.2,362.783,0.000,0,,260.000,0.000,2
1,80.00,car_flow_E#10.11,18.055,14.040,1,,260.000,0.000,2
1,80.00,car_flow_E#10.8,255.766,15.874,1,,260.000,0.000,2
1,80.00,car_flow_E#10.4,356.902,0.000,1,,260.000,0.000,2
1,80.00,car_flow_E#10.3,363.403,0.000,1,,260.000,0.000,2
1,85.00,car_flow_E#10.13,10.217,13.947,0,,260.000,0.000,2
1,85.00,car_flow_E#10.12,42.619,13.312,0,,260.000,0.000,2
1,85.00,car_flow_E#10.10,109.068,12.988,0,,260.000,0.000,2
1,85.00,car_flow_E#10.9,190.877,15.232,0,,260.000,0.000,2
1,85.00,car_flow_E#10.7,342.824,0.466,0,,260.000,0.000,2
1,85.00,car_flow_E#10.6,349.746,0.043,0,,260.000,0.000,2
1,85.00,car_flow_E#10.5,356.282,0.000,0,,260.000,0.000,2
