episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,30.00,car_flow_E#10.0,22.574,13.215,1,,260.000,0.000,16
1,35.00,car_flow_E#10.1,20.720,12.606,1,,260.000,0.000,17
1,35.00,car_flow_E#10.0,91.222,13.563,1,,260.000,0.000,17
1,40.00,car_flow_E#10.2,45.249,13.425,1,,260.000,0.000,21
1,40.00,car_flow_E#10.1,86.603,13.364,1,,260.000,0.000,21
1,40.00,car_flow_E#10.0,160.629,14.244,1,,260.000,0.000,21
1,45.00,car_flow_E#10.0,188.604,1.000,0,,260.000,0.000,23
1,45.00,car_flow_E#10.3,11.588,12.246,1,,260.000,0.000,23
1,45.00,car_flow_E#10.2,110.279,12.856,1,,260.000,0.000,23
1,45.00,car_flow_E#10.1,151.102,12.731,1,,260.000,0.000,23
1,50.00,car_flow_E#10.1,173.699,1.000,0,,260.000,0.000,24
1,50.00,car_flow_E#10.0,226.704,12.686,0,,260.000,0.000,24
1,50.00,car_flow_E#10.3,71.956,11.773,1,,260.000,0.000,24
1,50.00,car_flow_E#10.2,162.780,5.862,1,,260.000,0.000,24
1,55.00,car_flow_E#10.1,211.849,12.483,0,,260.000,0.000,28
1,55.00,car_flow_E#10.0,295.837,14.244,0,,260.000,0.000,28
1,55.00,car_flow_E#10.3,131.805,11.492,1,,260.000,0.000,28
1,55.00,car_flow_E#10.2,175.073,1.000,1,,260.000,0.000,28
1,60.00,car_flow_E#10.2,216.144,12.559,0,,260.000,0.000,32
1,60.00,car_flow_E#10.1,276.014,12.731,0,,260.000,0.000,32
1,60.00,car_flow_E#10.0,354.139,7.585,0,,260.000,0.000,32
1,60.00,car_flow_E#10.3,152.542,1.000,1,,260.000,0.000,32
1,65.00,car_flow_E#10.3,192.649,11.718,0,,260.000,0.000,30
1,65.00,car_flow_E#10.2,282.357,13.651,0,,260.000,0.000,30
1,65.00,car_flow_E#10.1,339.673,12.628,0,,260.000,0.000,30
1,70.00,car_flow_E#10.3,252.699,12.255,0,,260.000,0.000,29
1,70.00,car_flow_E#10.2,348.511,12.922,0,,260.000,0.000,29
1,70.00,car_flow_E#10.4,52.124,13.148,1,,260.000,0.000,29
1,75.00,car_flow_E#10.3,315.581,12.627,0,,260.000,0.000,30
1,75.00,car_flow_E#10.5,37.221,13.120,1,,260.000,0.000,30
1,75.00,car_flow_E#10.4,116.203,12.427,1,,260.000,0.000,30
1,80.00,car_flow_E#10.4,180.358,12.427,0,,260.000,0.000,35
1,80.00,car_flow_E#10.3,359.818,3.566,0,,260.000,0.000,35
1,80.00,car_flow_E#10.6,0.091,14.108,1,,260.000,0.000,35
1,80.00,car_flow_E#10.5,100.557,12.929,1,,260.000,0.000,35
1,85.00,car_flow_E#10.5,164.393,13.375,0,,260.000,0.000,38
1,85.00,car_flow_E#10.4,243.468,12.212,0,,260.000,0.000,38
1,85.00,car_flow_E#10.3,362.515,0.013,0,,260.000,0.000,38
1,85.00,car_flow_E#10.6,68.571,13.869,1,,260.000,0.000,38
1,90.00,car_flow_E#10.5,228.415,12.758,0,,260.000,0.000,41
1,90.00,car_flow_E#10.4,307.220,12.698,0,,260.000,0.000,41
1,90.00,car_flow_E#10.3,363.406,0.028,0,,260.000,0.000,41
1,90.00,car_flow_E#10.7,5.093,13.983,1,,260.000,0.000,41
1,90.00,car_flow_E#10.6,135.221,13.057,1,,260.000,0.000,41
1,95.00,car_flow_E#10.6,202.966,13.294,0,,260.000,0.000,42
1,95.00,car_flow_E#10.5,291.296,12.238,0,,260.000,0.000,42
1,95.00,car_flow_E#10.4,362.751,10.539,0,,260.000,0.000,42
1,95.00,car_flow_E#10.8,35.459,12.973,1,,260.000,0.000,42
1,95.00,car_flow_E#10.7,73.478,13.956,1,,260.000,0.000,42
1,100.00,car_flow_E#10.9,12.228,10.924,0,,260.000,0.000,43
1,100.00,car_flow_E#10.6,270.605,13.576,0,,260.000,0.000,43
1,100.00,car_flow_E#10.5,350.814,9.326,0,,260.000,0.000,43
1,100.00,car_flow_E#10.10,21.160,12.847,1,,260.000,0.000,43
1,100.00,car_flow_E#10.8,101.794,13.228,1,,260.000,0.000,43
1,100.00,car_flow_E#10.7,139.707,13.125,1,,260.000,0.000,43
1,105.00,car_flow_E#10.9,65.601,10.001,0,,260.000,0.000,42
1,105.00,car_flow_E#10.7,208.699,13.385,0,,260.000,0.000,42
1,105.00,car_flow_E#10.5,362.497,0.051,0,,260.000,0.000,42
