episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,35.00,car_flow_E#10.0,13.130,10.896,0,,260.000,0.000,0
1,40.00,car_flow_E#10.1,47.518,11.581,0,,260.000,0.000,0
1,40.00,car_flow_E#10.0,68.071,11.072,0,,260.000,0.000,0
1,45.00,car_flow_E#10.1,104.109,11.143,0,,260.000,0.000,0
1,45.00,car_flow_E#10.0,123.022,10.914,0,,260.000,0.000,0
1,45.00,car_flow_E#10.2,69.159,14.298,1,,260.000,0.000,0
1,50.00,car_flow_E#10.0,178.062,11.021,0,,260.000,0.000,0
1,50.00,car_flow_E#10.2,137.910,13.030,1,,260.000,0.000,0
1,50.00,car_flow_E#10.1,162.950,11.890,1,,260.000,0.000,0
1,55.00,car_flow_E#10.0,232.941,10.887,0,,260.000,0.000,2
1,55.00,car_flow_E#10.3,19.465,16.323,1,,260.000,0.000,2
1,55.00,car_flow_E#10.2,166.907,3.030,1,,260.000,0.000,2
1,55.00,car_flow_E#10.1,193.338,6.643,1,,260.000,0.000,2
1,60.00,car_flow_E#10.4,37.719,14.458,0,,260.000,0.000,2
1,60.00,car_flow_E#10.0,287.939,10.932,0,,260.000,0.000,2
1,60.00,car_flow_E#10.3,100.333,16.106,1,,260.000,0.000,2
1,60.00,car_flow_E#10.2,183.599,6.298,1,,260.000,0.000,2
1,60.00,car_flow_E#10.1,247.184,11.922,1,,260.000,0.000,2
1,65.00,car_flow_E#10.4,110.350,14.462,0,,260.000,0.000,1
1,65.00,car_flow_E#10.0,342.915,11.018,0,,260.000,0.000,1
1,65.00,car_flow_E#10.3,181.248,16.103,1,,260.000,0.000,1
1,65.00,car_flow_E#10.2,242.104,14.163,1,,260.000,0.000,1
1,65.00,car_flow_E#10.1,306.855,12.027,1,,260.000,0.000,1
1,70.00,car_flow_E#10.4,183.074,14.611,0,,260.000,0.000,0
1,70.00,car_flow_E#10.0,362.519,0.000,0,,260.000,0.000,0
1,70.00,car_flow_E#10.3,232.038,10.317,1,,260.000,0.000,0
1,70.00,car_flow_E#10.2,313.534,13.887,1,,260.000,0.000,0
1,70.00,car_flow_E#10.1,358.323,5.211,1,,260.000,0.000,0
1,75.00,car_flow_E#10.5,15.837,11.526,0,,260.000,0.000,2
1,75.00,car_flow_E#10.4,255.964,14.553,0,,260.000,0.000,2
1,75.00,car_flow_E#10.6,7.835,13.017,1,,260.000,0.000,2
1,75.00,car_flow_E#10.3,305.466,15.702,1,,260.000,0.000,2
1,75.00,car_flow_E#10.2,359.186,7.357,1,,260.000,0.000,2
1,80.00,car_flow_E#10.5,74.218,11.794,0,,260.000,0.000,2
1,80.00,car_flow_E#10.4,328.590,14.418,0,,260.000,0.000,2
1,80.00,car_flow_E#10.6,73.068,12.932,1,,260.000,0.000,2
1,80.00,car_flow_E#10.3,351.800,3.854,1,,260.000,0.000,2
1,80.00,car_flow_E#10.2,363.520,0.000,1,,260.000,0.000,2
1,85.00,car_flow_E#10.7,16.611,11.854,0,,260.000,0.000,2
1,85.00,car_flow_E#10.5,132.515,11.741,0,,260.000,0.000,2
1,85.00,car_flow_E#10.4,362.519,0.008,0,,260.000,0.000,2
1,85.00,car_flow_E#10.6,138.267,13.115,1,,260.000,0.000,2
1,85.00,car_flow_E#10.3,356.981,0.045,1,,260.000,0.000,2
1,85.00,car_flow_E#10.2,363.520,0.000,1,,260.000,0.000,2
1,90.00,car_flow_E#10.7,75.725,11.808,0,,260.000,0.000,0
1,90.00,car_flow_E#10.5,190.895,11.543,0,,260.000,0.000,0
1,90.00,car_flow_E#10.4,362.519,0.000,0,,260.000,0.000,0
1,90.00,car_flow_E#10.6,167.620,3.193,1,,260.000,0.000,0
1,90.00,car_flow_E#10.3,357.019,0.000,1,,260.000,0.000,0
1,90.00,car_flow_E#10.2,363.520,0.000,1,,260.000,0.000,0
1,95.00,car_flow_E#10.7,134.687,11.871,0,,260.000,0.000,0
1,95.00,car_flow_E#10.5,249.057,11.726,0,,260.000,0.000,0
1,95.00,car_flow_E#10.6,184.895,6.256,1,,260.000,0.000,0
1,100.00,car_flow_E#10.7,193.747,11.699,0,,260.000,0.000,0
1,100.00,car_flow_E#10.5,307.241,11.657,0,,260.000,0.000,0
1,100.00,car_flow_E#10.6,240.571,13.124,1,,260.000,0.000,0
1,105.00,car_flow_E#10.7,252.592,11.651,0,,260.000,0.000,0
1,105.00,car_flow_E#10.6,305.849,13.037,1,,260.000,0.000,0
1,110.00,car_flow_E#10.7,311.472,11.736,0,,260.000,0.000,0
1,110.00,car_flow_E#10.6,358.973,4.867,0,,260.000,0.000,0
1,110.00,car_flow_E#10.8,63.931,15.569,1,,260.000,0.000,0
1,115.00,car_flow_E#10.9,47.315,11.816,0,,260.000,0.000,0
1,115.00,car_flow_E#10.6,362.519,0.000,0,,260.000,0.000,0
1,115.00,car_flow_E#10.10,37.303,15.640,1,,260.000,0.000,0
1,115.00,car_flow_E#10.8,141.703,15.588,1,,260.000,0.000,0
1,115.00,car_flow_E#10.7,353.231,6.314,1,,260.000,0.000,0
1,120.00,car_flow_E#10.9,106.562,11.783,0,,260.000,0.000,0
1,120.00,car_flow_E#10.6,362.519,0.000,0,,260.000,0.000,0
1,120.00,car_flow_E#10.12,9.762,16.416,1,,260.000,0.000,0
1,120.00,car_flow_E#10.10,116.209,15.697,1,,260.000,0.000,0
1,120.00,car_flow_E#10.8,182.797,4.871,1,,260.000,0.000,0
1,120.00,car_flow_E#10.7,362.519,0.000,1,,260.000,0.000,0
2,30.00,car_flow_E#10.0,10.663,10.741,0,,260.000,0.000,0
2,30.00,car_flow_E#10.1,39.720,14.145,1,,260.000,0.000,0
2,35.00,car_flow_E#10.0,63.822,10.557,0,,260.000,0.000,0
2,35.00,car_flow_E#10.1,110.729,14.308,1,,260.000,0.000,0
2,40.00,car_flow_E#10.2,56.838,12.835,0,,260.000,0.000,0
2,40.00,car_flow_E#10.0,117.019,10.586,0,,260.000,0.000,0
2,40.00,car_flow_E#10.1,181.899,14.354,1,,260.000,0.000,0
2,45.00,car_flow_E#10.3,59.579,12.631,0,,260.000,0.000,0
2,45.00,car_flow_E#10.2,121.351,12.886,0,,260.000,0.000,0
2,45.00,car_flow_E#10.0,170.233,10.501,0,,260.000,0.000,0
2,45.00,car_flow_E#10.1,224.259,8.764,1,,260.000,0.000,0
2,50.00,car_flow_E#10.3,122.407,12.685,0,,260.000,0.000,0
2,50.00,car_flow_E#10.2,185.926,12.994,0,,260.000,0.000,0
2,50.00,car_flow_E#10.0,223.191,10.407,0,,260.000,0.000,0
2,50.00,car_flow_E#10.1,255.436,2.897,0,,260.000,0.000,0
2,55.00,car_flow_E#10.5,23.504,13.078,0,,260.000,0.000,0
2,55.00,car_flow_E#10.4,66.324,14.177,0,,260.000,0.000,0
2,55.00,car_flow_E#10.3,185.203,12.688,0,,260.000,0.000,0
2,55.00,car_flow_E#10.2,249.420,12.128,0,,260.000,0.000,0
2,55.00,car_flow_E#10.0,273.953,10.694,0,,260.000,0.000,0
2,55.00,car_flow_E#10.1,299.199,14.188,0,,260.000,0.000,0
2,60.00,car_flow_E#10.6,44.503,14.637,0,,260.000,0.000,0
2,60.00,car_flow_E#10.5,88.882,12.945,0,,260.000,0.000,0
2,60.00,car_flow_E#10.4,137.663,14.194,0,,260.000,0.000,0
2,60.00,car_flow_E#10.3,247.980,12.561,0,,260.000,0.000,0
2,60.00,car_flow_E#10.2,307.164,10.961,0,,260.000,0.000,0
2,60.00,car_flow_E#10.0,327.275,10.747,0,,260.000,0.000,0
2,60.00,car_flow_E#10.1,357.528,5.770,0,,260.000,0.000,0
2,65.00,car_flow_E#10.7,43.027,11.741,0,,260.000,0.000,0
2,65.00,car_flow_E#10.6,117.761,14.579,0,,260.000,0.000,0
2,65.00,car_flow_E#10.5,154.313,13.130,0,,260.000,0.000,0
2,65.00,car_flow_E#10.4,209.044,14.222,0,,260.000,0.000,0
2,65.00,car_flow_E#10.3,309.915,10.914,0,,260.000,0.000,0
2,65.00,car_flow_E#10.2,343.213,3.691,0,,260.000,0.000,0
2,65.00,car_flow_E#10.1,362.519,0.000,0,,260.000,0.000,0
2,65.00,car_flow_E#10.8,3.714,13.252,1,,260.000,0.000,0
2,65.00,car_flow_E#10.0,354.773,2.254,1,,260.000,0.000,0
2,70.00,car_flow_E#10.7,102.496,11.948,0,,260.000,0.000,0
2,70.00,car_flow_E#10.6,190.983,14.733,0,,260.000,0.000,0
2,70.00,car_flow_E#10.5,219.790,13.145,0,,260.000,0.000,0
2,70.00,car_flow_E#10.4,280.416,14.330,0,,260.000,0.000,0
2,70.00,car_flow_E#10.3,349.925,3.993,0,,260.000,0.000,0
2,70.00,car_flow_E#10.1,362.519,0.000,0,,260.000,0.000,0
2,70.00,car_flow_E#10.9,33.326,15.982,1,,260.000,0.000,0
2,70.00,car_flow_E#10.8,69.224,13.090,1,,260.000,0.000,0
2,70.00,car_flow_E#10.2,355.090,0.985,1,,260.000,0.000,0
2,70.00,car_flow_E#10.0,362.519,0.000,1,,260.000,0.000,0
2,75.00,car_flow_E#10.10,50.796,13.520,0,,260.000,0.000,0
2,75.00,car_flow_E#10.7,161.941,11.843,0,,260.000,0.000,0
2,75.00,car_flow_E#10.6,261.473,13.944,0,,260.000,0.000,0
2,75.00,car_flow_E#10.5,285.159,12.950,0,,260.000,0.000,0
2,75.00,car_flow_E#10.4,337.893,6.606,0,,260.000,0.000,0
2,75.00,car_flow_E#10.3,356.837,0.097,0,,260.000,0.000,0
2,75.00,car_flow_E#10.1,363.419,0.000,0,,260.000,0.000,0
2,75.00,car_flow_E#10.9,108.157,14.477,1,,260.000,0.000,0
2,75.00,car_flow_E#10.8,134.797,13.001,1,,260.000,0.000,0
2,80.00,car_flow_E#10.10,116.371,11.343,0,,260.000,0.000,2
2,80.00,car_flow_E#10.9,150.841,4.288,0,,260.000,0.000,2
2,80.00,car_flow_E#10.7,221.420,11.776,0,,260.000,0.000,2
2,80.00,car_flow_E#10.6,321.988,9.491,0,,260.000,0.000,2
2,80.00,car_flow_E#10.5,341.331,8.433,0,,260.000,0.000,2
2,80.00,car_flow_E#10.8,163.479,2.780,1,,260.000,0.000,2
2,80.00,car_flow_E#10.4,352.439,3.176,1,,260.000,0.000,2
2,80.00,car_flow_E#10.3,361.477,3.685,1,,260.000,0.000,2
2,85.00,car_flow_E#10.11,48.000,12.688,0,,260.000,0.000,0
2,85.00,car_flow_E#10.10,171.163,13.440,0,,260.000,0.000,0
2,85.00,car_flow_E#10.9,193.669,13.831,0,,260.000,0.000,0
2,85.00,car_flow_E#10.7,280.849,11.876,0,,260.000,0.000,0
2,85.00,car_flow_E#10.6,353.611,2.050,0,,260.000,0.000,0
2,85.00,car_flow_E#10.5,362.519,0.000,0,,260.000,0.000,0
2,85.00,car_flow_E#10.12,24.072,15.613,1,,260.000,0.000,0
2,85.00,car_flow_E#10.8,180.319,6.435,1,,260.000,0.000,0
2,85.00,car_flow_E#10.4,356.850,0.034,1,,260.000,0.000,0
2,85.00,car_flow_E#10.3,363.380,0.000,1,,260.000,0.000,0
2,90.00,car_flow_E#10.11,111.004,12.742,0,,260.000,0.000,0
2,90.00,car_flow_E#10.10,238.465,13.527,0,,260.000,0.000,0
