episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,35.00,car_flow_E#10.0,28.974,13.932,0,,260.000,0.000,2
1,40.00,car_flow_E#10.0,98.782,13.800,0,,260.000,0.000,1
1,45.00,car_flow_E#10.1,49.548,15.548,0,,260.000,0.000,0
1,45.00,car_flow_E#10.0,168.206,13.932,0,,260.000,0.000,0
1,50.00,car_flow_E#10.1,126.992,15.529,0,,260.000,0.000,0
1,50.00,car_flow_E#10.0,237.890,13.900,0,,260.000,0.000,0
1,55.00,car_flow_E#10.1,204.585,15.601,0,,260.000,0.000,0
1,55.00,car_flow_E#10.0,307.458,13.951,0,,260.000,0.000,0
1,60.00,car_flow_E#10.3,10.095,12.525,0,,260.000,0.000,0
1,60.00,car_flow_E#10.2,59.668,13.294,0,,260.000,0.000,0
1,60.00,car_flow_E#10.1,282.049,15.444,0,,260.000,0.000,0
1,60.00,car_flow_E#10.4,8.140,15.117,1,,260.000,0.000,0
1,65.00,car_flow_E#10.3,73.219,12.695,0,,260.000,0.000,0
1,65.00,car_flow_E#10.2,126.313,13.449,0,,260.000,0.000,0
1,65.00,car_flow_E#10.1,350.773,8.584,0,,260.000,0.000,0
1,65.00,car_flow_E#10.5,2.863,14.316,1,,260.000,0.000,0
1,65.00,car_flow_E#10.4,84.359,15.270,1,,260.000,0.000,0
1,70.00,car_flow_E#10.6,25.467,13.143,0,,260.000,0.000,0
1,70.00,car_flow_E#10.3,136.596,12.775,0,,260.000,0.000,0
1,70.00,car_flow_E#10.2,192.989,13.312,0,,260.000,0.000,0
1,70.00,car_flow_E#10.5,75.125,14.492,1,,260.000,0.000,0
1,70.00,car_flow_E#10.4,160.128,15.293,1,,260.000,0.000,0
1,75.00,car_flow_E#10.7,60.421,13.499,0,,260.000,0.000,0
1,75.00,car_flow_E#10.6,91.936,13.136,0,,260.000,0.000,0
1,75.00,car_flow_E#10.3,199.863,12.644,0,,260.000,0.000,0
1,75.00,car_flow_E#10.2,259.655,13.308,0,,260.000,0.000,0
1,75.00,car_flow_E#10.5,147.315,14.435,1,,260.000,0.000,0
1,75.00,car_flow_E#10.4,207.583,10.328,1,,260.000,0.000,0
1,80.00,car_flow_E#10.9,56.767,16.917,0,,260.000,0.000,0
1,80.00,car_flow_E#10.7,127.332,13.266,0,,260.000,0.000,0
1,80.00,car_flow_E#10.6,158.301,13.342,0,,260.000,0.000,0
1,80.00,car_flow_E#10.3,263.254,12.723,0,,260.000,0.000,0
1,80.00,car_flow_E#10.2,326.338,13.416,0,,260.000,0.000,0
1,80.00,car_flow_E#10.8,66.947,14.725,1,,260.000,0.000,0
1,80.00,car_flow_E#10.5,182.449,3.369,1,,260.000,0.000,0
1,80.00,car_flow_E#10.4,278.371,15.256,1,,260.000,0.000,0
1,85.00,car_flow_E#10.9,140.734,16.791,0,,260.000,0.000,0
1,85.00,car_flow_E#10.7,194.224,13.386,0,,260.000,0.000,0
1,85.00,car_flow_E#10.6,224.511,13.135,0,,260.000,0.000,0
1,85.00,car_flow_E#10.3,326.613,12.706,0,,260.000,0.000,0
1,85.00,car_flow_E#10.10,38.982,14.615,1,,260.000,0.000,0
1,85.00,car_flow_E#10.8,139.836,14.549,1,,260.000,0.000,0
1,85.00,car_flow_E#10.5,200.212,6.367,1,,260.000,0.000,0
1,85.00,car_flow_E#10.4,354.227,15.241,1,,260.000,0.000,0
1,90.00,car_flow_E#10.11,66.662,13.937,0,,260.000,0.000,0
1,90.00,car_flow_E#10.9,224.307,16.280,0,,260.000,0.000,0
1,90.00,car_flow_E#10.7,261.165,13.465,0,,260.000,0.000,0
1,90.00,car_flow_E#10.6,290.833,13.161,0,,260.000,0.000,0
1,90.00,car_flow_E#10.3,362.519,0.217,0,,260.000,0.000,0
1,90.00,car_flow_E#10.10,112.558,14.831,1,,260.000,0.000,0
1,90.00,car_flow_E#10.8,175.757,3.798,1,,260.000,0.000,0
1,90.00,car_flow_E#10.5,257.840,14.589,1,,260.000,0.000,0
1,90.00,car_flow_E#10.4,363.520,0.000,1,,260.000,0.000,0
1,95.00,car_flow_E#10.11,136.984,14.120,0,,260.000,0.000,0
1,95.00,car_flow_E#10.9,297.455,11.646,0,,260.000,0.000,0
1,95.00,car_flow_E#10.7,323.072,9.235,0,,260.000,0.000,0
1,95.00,car_flow_E#10.6,345.255,6.043,0,,260.000,0.000,0
1,95.00,car_flow_E#10.3,362.519,0.000,0,,260.000,0.000,0
1,95.00,car_flow_E#10.10,170.899,9.282,1,,260.000,0.000,0
1,95.00,car_flow_E#10.8,194.267,6.828,1,,260.000,0.000,0
1,95.00,car_flow_E#10.5,327.725,11.290,1,,260.000,0.000,0
1,95.00,car_flow_E#10.4,363.520,0.000,1,,260.000,0.000,0
1,100.00,car_flow_E#10.12,33.430,12.829,0,,260.000,0.000,0
1,100.00,car_flow_E#10.11,207.224,14.154,0,,260.000,0.000,0
1,100.00,car_flow_E#10.7,347.576,1.655,0,,260.000,0.000,0
1,100.00,car_flow_E#10.6,355.857,0.200,0,,260.000,0.000,0
1,100.00,car_flow_E#10.3,362.519,0.000,0,,260.000,0.000,0
1,100.00,car_flow_E#10.10,196.997,6.611,1,,260.000,0.000,0
1,100.00,car_flow_E#10.8,254.159,14.590,1,,260.000,0.000,0
1,100.00,car_flow_E#10.9,338.031,5.778,1,,260.000,0.000,0
1,100.00,car_flow_E#10.5,353.404,2.716,1,,260.000,0.000,0
1,100.00,car_flow_E#10.4,363.520,0.000,1,,260.000,0.000,0
1,105.00,car_flow_E#10.13,43.051,13.977,0,,260.000,0.000,0
1,105.00,car_flow_E#10.12,97.747,12.954,0,,260.000,0.000,0
1,105.00,car_flow_E#10.11,277.475,14.048,0,,260.000,0.000,0
1,105.00,car_flow_E#10.8,321.063,9.509,0,,260.000,0.000,0
1,105.00,car_flow_E#10.7,349.501,0.017,0,,260.000,0.000,0
1,105.00,car_flow_E#10.6,356.017,0.001,0,,260.000,0.000,0
1,105.00,car_flow_E#10.3,362.519,0.000,0,,260.000,0.000,0
1,105.00,car_flow_E#10.10,257.542,14.837,1,,260.000,0.000,0
1,105.00,car_flow_E#10.9,350.194,0.342,1,,260.000,0.000,0
1,105.00,car_flow_E#10.5,356.994,0.030,1,,260.000,0.000,0
1,105.00,car_flow_E#10.4,363.520,0.000,1,,260.000,0.000,0
1,110.00,car_flow_E#10.13,112.769,13.885,0,,260.000,0.000,0
1,110.00,car_flow_E#10.12,162.042,12.727,0,,260.000,0.000,0
1,110.00,car_flow_E#10.11,336.591,10.606,0,,260.000,0.000,0
1,110.00,car_flow_E#10.10,322.497,10.632,1,,260.000,0.000,0
1,110.00,car_flow_E#10.8,350.831,6.765,1,,260.000,0.000,0
1,115.00,car_flow_E#10.13,182.481,14.011,0,,260.000,0.000,0
1,115.00,car_flow_E#10.12,226.347,12.724,0,,260.000,0.000,0
1,115.00,car_flow_E#10.11,362.519,0.000,0,,260.000,0.000,0
1,115.00,car_flow_E#10.10,347.541,5.102,1,,260.000,0.000,0
1,115.00,car_flow_E#10.8,362.519,0.000,1,,260.000,0.000,0
1,120.00,car_flow_E#10.14,48.573,12.336,0,,260.000,0.000,0
1,120.00,car_flow_E#10.13,252.260,14.048,0,,260.000,0.000,0
1,120.00,car_flow_E#10.12,290.590,12.946,0,,260.000,0.000,0
1,120.00,car_flow_E#10.11,362.519,0.000,0,,260.000,0.000,0
1,120.00,car_flow_E#10.10,355.919,0.123,1,,260.000,0.000,0
1,120.00,car_flow_E#10.8,362.519,0.000,1,,260.000,0.000,0
2,30.00,car_flow_E#10.0,6.750,15.290,1,,260.000,0.000,0
2,35.00,car_flow_E#10.1,9.006,12.575,0,,260.000,0.000,0
2,35.00,car_flow_E#10.0,83.508,15.404,1,,260.000,0.000,0
2,40.00,car_flow_E#10.1,71.830,12.497,0,,260.000,0.000,0
2,40.00,car_flow_E#10.2,54.126,14.307,1,,260.000,0.000,0
2,40.00,car_flow_E#10.0,160.265,15.392,1,,260.000,0.000,0
2,45.00,car_flow_E#10.1,134.499,12.457,0,,260.000,0.000,0
2,45.00,car_flow_E#10.2,125.265,14.311,1,,260.000,0.000,0
2,45.00,car_flow_E#10.0,207.457,9.718,1,,260.000,0.000,0
2,50.00,car_flow_E#10.1,197.347,12.644,0,,260.000,0.000,0
2,50.00,car_flow_E#10.2,159.951,3.474,1,,260.000,0.000,0
2,50.00,car_flow_E#10.0,251.459,4.023,1,,260.000,0.000,0
2,55.00,car_flow_E#10.1,254.735,11.901,0,,260.000,0.000,0
2,55.00,car_flow_E#10.0,279.712,10.498,0,,260.000,0.000,0
2,55.00,car_flow_E#10.3,65.644,14.242,1,,260.000,0.000,0
2,55.00,car_flow_E#10.2,177.779,6.579,1,,260.000,0.000,0
2,60.00,car_flow_E#10.1,317.263,12.670,0,,260.000,0.000,0
2,60.00,car_flow_E#10.0,346.095,10.173,0,,260.000,0.000,0
2,60.00,car_flow_E#10.4,64.304,15.490,1,,260.000,0.000,0
2,60.00,car_flow_E#10.3,136.915,14.265,1,,260.000,0.000,0
2,60.00,car_flow_E#10.2,232.856,10.063,1,,260.000,0.000,0
2,65.00,car_flow_E#10.2,286.719,14.147,0,,260.000,0.000,0
2,65.00,car_flow_E#10.0,362.519,0.000,0,,260.000,0.000,0
2,65.00,car_flow_E#10.4,136.558,11.008,1,,260.000,0.000,0
