episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,31.00,car_flow_E#10.0,55.998,11.785,0,,260.000,0.000,7
1,31.00,car_flow_E#10.2,26.679,14.187,1,,260.000,0.000,7
1,31.00,car_flow_E#10.1,66.742,13.561,1,,260.000,0.000,7
1,36.00,car_flow_E#10.3,57.058,14.173,0,,260.000,0.000,10
1,36.00,car_flow_E#10.0,114.215,10.696,0,,260.000,0.000,10
1,36.00,car_flow_E#10.4,25.562,14.073,1,,260.000,0.000,10
1,36.00,car_flow_E#10.2,99.702,14.707,1,,260.000,0.000,10
1,36.00,car_flow_E#10.1,132.847,10.685,1,,260.000,0.000,10
1,41.00,car_flow_E#10.3,129.767,14.630,0,,260.000,0.000,21
1,41.00,car_flow_E#10.0,170.104,10.955,0,,260.000,0.000,21
1,41.00,car_flow_E#10.4,95.179,13.673,1,,260.000,0.000,21
1,41.00,car_flow_E#10.2,139.284,3.256,1,,260.000,0.000,21
1,41.00,car_flow_E#10.1,151.357,3.454,1,,260.000,0.000,21
1,46.00,car_flow_E#10.5,31.176,11.618,0,,260.000,0.000,29
1,46.00,car_flow_E#10.1,167.067,4.755,0,,260.000,0.000,29
1,46.00,car_flow_E#10.3,185.842,12.378,0,,260.000,0.000,29
1,46.00,car_flow_E#10.0,226.928,10.732,0,,260.000,0.000,29
1,46.00,car_flow_E#10.6,35.828,14.822,1,,260.000,0.000,29
1,46.00,car_flow_E#10.4,136.931,4.277,1,,260.000,0.000,29
1,46.00,car_flow_E#10.2,156.474,7.554,1,,260.000,0.000,29
1,51.00,car_flow_E#10.5,90.591,11.454,0,,260.000,0.000,34
1,51.00,car_flow_E#10.2,175.599,4.071,0,,260.000,0.000,34
1,51.00,car_flow_E#10.1,222.581,12.895,0,,260.000,0.000,34
1,51.00,car_flow_E#10.3,256.274,13.667,0,,260.000,0.000,34
1,51.00,car_flow_E#10.0,284.529,10.695,0,,260.000,0.000,34
1,51.00,car_flow_E#10.6,105.979,14.666,1,,260.000,0.000,34
1,51.00,car_flow_E#10.4,148.377,4.274,1,,260.000,0.000,34
1,56.00,car_flow_E#10.5,146.567,8.711,0,,260.000,0.000,40
1,56.00,car_flow_E#10.4,168.669,2.500,0,,260.000,0.000,40
1,56.00,car_flow_E#10.2,231.774,15.038,0,,260.000,0.000,40
1,56.00,car_flow_E#10.1,289.504,13.791,0,,260.000,0.000,40
1,56.00,car_flow_E#10.3,317.994,12.254,0,,260.000,0.000,40
1,56.00,car_flow_E#10.0,339.952,8.995,0,,260.000,0.000,40
1,56.00,car_flow_E#10.6,148.741,3.637,1,,260.000,0.000,40
1,61.00,car_flow_E#10.6,156.741,2.500,0,,260.000,0.000,44
1,61.00,car_flow_E#10.5,191.634,10.996,0,,260.000,0.000,44
1,61.00,car_flow_E#10.4,217.518,13.919,0,,260.000,0.000,44
1,61.00,car_flow_E#10.2,302.232,14.207,0,,260.000,0.000,44
1,61.00,car_flow_E#10.0,359.601,5.531,0,,260.000,0.000,44
1,61.00,car_flow_E#10.1,352.017,14.087,1,,260.000,0.000,44
1,66.00,car_flow_E#10.6,190.922,11.799,0,,260.000,0.000,44
1,66.00,car_flow_E#10.5,250.525,11.334,0,,260.000,0.000,44
1,66.00,car_flow_E#10.4,288.220,13.798,0,,260.000,0.000,44
1,66.00,car_flow_E#10.2,353.813,4.767,0,,260.000,0.000,44
1,71.00,car_flow_E#10.6,261.630,14.861,0,,260.000,0.000,45
1,71.00,car_flow_E#10.5,309.979,11.446,0,,260.000,0.000,45
1,71.00,car_flow_E#10.2,362.446,0.119,0,,260.000,0.000,45
1,71.00,car_flow_E#10.4,351.138,9.228,1,,260.000,0.000,45
1,76.00,car_flow_E#10.6,323.829,8.165,0,,260.000,0.000,42
1,76.00,car_flow_E#10.5,339.869,1.700,0,,260.000,0.000,42
