episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,30,car_flow_E#10.0,34.638,14.569,1,,260,0,0
1,35,car_flow_E#10.1,35.968,13.794,0,,260,0,0
1,35,car_flow_E#10.0,107.108,14.369,1,,260,0,0
1,40,car_flow_E#10.2,68.083,13.452,0,,260,0,0
1,40,car_flow_E#10.1,105.368,13.9,0,,260,0,0
1,40,car_flow_E#10.3,36.995,13.865,1,,260,0,0
1,40,car_flow_E#10.0,179.488,14.408,1,,260,0,0
1,45,car_flow_E#10.2,135.942,13.628,0,,260,0,0
1,45,car_flow_E#10.1,174.684,13.875,0,,260,0,0
1,45,car_flow_E#10.3,106.33,13.859,1,,260,0,0
1,45,car_flow_E#10.0,221.646,8.458,1,,260,0,0
1,50,car_flow_E#10.2,203.874,13.547,0,,260,0,0
1,50,car_flow_E#10.1,244.006,13.787,0,,260,0,0
1,50,car_flow_E#10.3,175.699,13.872,1,,260,0,0
1,50,car_flow_E#10.0,287.121,14.606,1,,260,0,0
1,55,car_flow_E#10.4,61.821,13.798,0,,260,0,0
1,55,car_flow_E#10.2,271.996,13.508,0,,260,0,0
1,55,car_flow_E#10.1,313.501,13.893,0,,260,0,0
1,55,car_flow_E#10.0,359.658,14.608,0,,260,0,0
1,55,car_flow_E#10.3,215.344,8.284,1,,260,0,0
1,60,car_flow_E#10.4,130.31,13.792,0,,260,0,0
1,60,car_flow_E#10.2,335.312,9.203,0,,260,0,0
1,60,car_flow_E#10.1,361.416,2.848,0,,260,0,0
1,60,car_flow_E#10.3,278.522,13.862,1,,260,0,0
1,65,car_flow_E#10.5,5.852,14.719,0,,260,0,0
1,65,car_flow_E#10.4,198.755,13.753,0,,260,0,0
1,65,car_flow_E#10.1,362.519,0,0,,260,0,0
1,65,car_flow_E#10.3,338.51,8.322,1,,260,0,0
1,65,car_flow_E#10.2,362.051,1.795,1,,260,0,0
1,70,car_flow_E#10.5,79.023,14.526,0,,260,0,0
1,70,car_flow_E#10.4,267.387,13.775,0,,260,0,0
1,70,car_flow_E#10.1,362.519,0,0,,260,0,0
1,70,car_flow_E#10.3,355.5,0.627,1,,260,0,0
1,70,car_flow_E#10.2,362.519,0,1,,260,0,0
1,75,car_flow_E#10.5,152.256,14.53,0,,260,0,4
1,75,car_flow_E#10.4,332.579,9.911,0,,260,0,4
1,75,car_flow_E#10.1,362.519,0,0,,260,0,4
1,75,car_flow_E#10.3,356.015,0.003,1,,260,0,4
1,75,car_flow_E#10.2,362.519,0,1,,260,0,4
1,80,car_flow_E#10.5,225.387,14.671,0,,260,0,4
1,80,car_flow_E#10.4,355.131,0.925,0,,260,0,4
1,80,car_flow_E#10.1,362.519,0,0,,260,0,4
1,80,car_flow_E#10.3,356.018,0,1,,260,0,4
1,80,car_flow_E#10.2,362.519,0,1,,260,0,4
1,85,car_flow_E#10.5,298.567,14.533,0,,260,0,4
1,85,car_flow_E#10.6,77.641,16.135,1,,260,0,4
1,85,car_flow_E#10.3,362.09,3.864,1,,260,0,4
1,90,car_flow_E#10.7,13.125,13.174,0,,260,0,5
1,90,car_flow_E#10.5,357.617,5.712,0,,260,0,5
1,90,car_flow_E#10.6,158.536,16.308,1,,260,0,5
1,95,car_flow_E#10.8,38.298,14.674,0,,260,0,7
1,95,car_flow_E#10.7,78.74,13.128,0,,260,0,7
1,95,car_flow_E#10.5,362.519,0,0,,260,0,7
1,95,car_flow_E#10.6,210.893,10.987,1,,260,0,7
1,100,car_flow_E#10.11,2.242,14.226,0,,260,0,6
1,100,car_flow_E#10.9,55.158,13.216,0,,260,0,6
1,100,car_flow_E#10.8,111.917,14.727,0,,260,0,6
1,100,car_flow_E#10.7,144.576,13.287,0,,260,0,6
1,100,car_flow_E#10.10,66.093,16.627,1,,260,0,6
1,100,car_flow_E#10.6,285.89,16.081,1,,260,0,6
1,105,car_flow_E#10.11,73.226,14.122,0,,260,0,4
1,105,car_flow_E#10.9,120.835,13.271,0,,260,0,4
1,105,car_flow_E#10.8,184.605,14.082,0,,260,0,4
1,105,car_flow_E#10.7,210.274,13.098,0,,260,0,4
1,105,car_flow_E#10.10,148.92,16.432,1,,260,0,4
1,110,car_flow_E#10.12,28.383,10.728,0,,260,0,4
1,110,car_flow_E#10.11,144.266,14.293,0,,260,0,4
1,110,car_flow_E#10.9,186.446,13.182,0,,260,0,4
1,110,car_flow_E#10.7,276.044,13.172,0,,260,0,4
1,110,car_flow_E#10.13,46.65,13.862,1,,260,0,4
1,110,car_flow_E#10.10,194.109,5.525,1,,260,0,4
1,110,car_flow_E#10.8,253.459,13.469,1,,260,0,4
1,115,car_flow_E#10.12,82.64,10.745,0,,260,0,4
1,115,car_flow_E#10.11,215.312,14.32,0,,260,0,4
1,115,car_flow_E#10.9,251.982,13.187,0,,260,0,4
1,115,car_flow_E#10.7,341.076,11.508,0,,260,0,4
1,115,car_flow_E#10.13,115.443,13.637,1,,260,0,4
1,115,car_flow_E#10.10,214.798,6.576,1,,260,0,4
1,115,car_flow_E#10.8,291.19,7.745,1,,260,0,4
1,120,car_flow_E#10.12,137.016,10.827,0,,260,0,0
1,120,car_flow_E#10.11,286.216,14.196,0,,260,0,0
1,120,car_flow_E#10.9,317.187,13.083,0,,260,0,0
1,120,car_flow_E#10.7,363.419,0,0,,260,0,0
1,120,car_flow_E#10.14,24.75,14.236,1,,260,0,0
1,120,car_flow_E#10.13,184.128,13.609,1,,260,0,0
1,120,car_flow_E#10.10,275.95,16.449,1,,260,0,0
1,120,car_flow_E#10.8,344.128,10.629,1,,260,0,0
2,25,car_flow_E#10.0,22.161,12.405,0,,260,0,0
2,30,car_flow_E#10.0,83.883,12.305,0,,260,0,0
2,35,car_flow_E#10.1,6.592,10.921,0,,260,0,0
2,35,car_flow_E#10.0,145.527,12.357,0,,260,0,0
2,40,car_flow_E#10.1,61.214,10.825,0,,260,0,0
2,40,car_flow_E#10.0,207.137,12.164,0,,260,0,0
2,40,car_flow_E#10.2,44.638,12.818,1,,260,0,0
2,45,car_flow_E#10.3,43.903,14.409,0,,260,0,0
2,45,car_flow_E#10.1,115.893,10.896,0,,260,0,0
2,45,car_flow_E#10.0,268.642,12.331,0,,260,0,0
2,45,car_flow_E#10.2,108.924,12.808,1,,260,0,0
2,50,car_flow_E#10.4,30.639,12.643,0,,260,0,0
2,50,car_flow_E#10.3,115.949,14.424,0,,260,0,0
2,50,car_flow_E#10.1,169.501,9.975,0,,260,0,0
2,50,car_flow_E#10.0,330.323,12.296,0,,260,0,0
2,50,car_flow_E#10.2,173.296,12.949,1,,260,0,0
2,55,car_flow_E#10.4,94.157,12.777,0,,260,0,0
2,55,car_flow_E#10.3,187.976,14.538,0,,260,0,0
2,55,car_flow_E#10.1,223.946,10.924,0,,260,0,0
2,55,car_flow_E#10.5,20.351,14.527,1,,260,0,0
2,55,car_flow_E#10.2,208.786,7.81,1,,260,0,0
2,60,car_flow_E#10.4,157.688,12.594,0,,260,0,0
2,60,car_flow_E#10.3,250.047,7.888,0,,260,0,0
2,60,car_flow_E#10.1,278.606,10.864,0,,260,0,0
2,60,car_flow_E#10.5,93.106,14.435,1,,260,0,0
2,60,car_flow_E#10.2,249.994,2.986,1,,260,0,0
2,65,car_flow_E#10.6,46.278,10.139,0,,260,0,0
2,65,car_flow_E#10.4,220.737,11.79,0,,260,0,0
2,65,car_flow_E#10.2,259.181,2.938,0,,260,0,0
2,65,car_flow_E#10.3,309.207,12.12,0,,260,0,0
2,65,car_flow_E#10.1,333.151,11.038,0,,260,0,0
2,65,car_flow_E#10.5,165.931,14.557,1,,260,0,0
2,70,car_flow_E#10.7,2.723,13.642,0,,260,0,2
2,70,car_flow_E#10.6,97.528,10.346,0,,260,0,2
2,70,car_flow_E#10.4,279.166,12.7,0,,260,0,2
2,70,car_flow_E#10.2,304.16,12.935,0,,260,0,2
2,70,car_flow_E#10.3,351.155,3.595,0,,260,0,2
2,70,car_flow_E#10.1,362.519,0,0,,260,0,2
2,70,car_flow_E#10.5,209.509,9.219,1,,260,0,2
2,75,car_flow_E#10.7,71.591,13.639,0,,260,0,2
2,75,car_flow_E#10.6,148.552,10.188,0,,260,0,2
2,75,car_flow_E#10.5,251.884,3.812,0,,260,0,2
2,75,car_flow_E#10.4,332.524,6.929,0,,260,0,2
2,75,car_flow_E#10.2,349.711,4.25,0,,260,0,2
2,75,car_flow_E#10.1,362.519,0,0,,260,0,2
2,75,car_flow_E#10.8,32.457,16.351,1,,260,0,2
2,75,car_flow_E#10.3,362.519,0,1,,260,0,2
2,80,car_flow_E#10.9,42.298,13.221,0,,260,0,1
2,80,car_flow_E#10.7,140.481,13.757,0,,260,0,1
2,80,car_flow_E#10.6,199.741,10.311,0,,260,0,1
2,80,car_flow_E#10.5,282.719,11.634,0,,260,0,1
2,80,car_flow_E#10.4,354.478,1.507,0,,260,0,1
2,80,car_flow_E#10.1,362.519,0,0,,260,0,1
2,80,car_flow_E#10.8,113.672,16.164,1,,260,0,1
2,80,car_flow_E#10.2,355.957,0.074,1,,260,0,1
2,80,car_flow_E#10.3,362.519,0,1,,260,0,1
2,85,car_flow_E#10.10,16.987,12.217,0,,260,0,0
2,85,car_flow_E#10.9,108.29,13.189,0,,260,0,0
2,85,car_flow_E#10.7,209.509,13.887,0,,260,0,0
2,85,car_flow_E#10.6,250.869,10.236,0,,260,0,0
2,85,car_flow_E#10.5,346.831,12.41,0,,260,0,0
2,85,car_flow_E#10.8,190.53,13.638,1,,260,0,0
2,90,car_flow_E#10.10,78.085,12.236,0,,260,0,0
2,90,car_flow_E#10.9,174.392,13.12,0,,260,0,0
2,90,car_flow_E#10.7,275.457,12.13,0,,260,0,0
2,90,car_flow_E#10.6,301.928,10.284,0,,260,0,0
2,90,car_flow_E#10.5,363.412,0,0,,260,0,0
2,90,car_flow_E#10.8,229.271,8.029,1,,260,0,0
2,95,car_flow_E#10.10,139.236,12.222,0,,260,0,2
2,95,car_flow_E#10.9,235.937,8.365,0,,260,0,2
2,95,car_flow_E#10.7,332.787,10.893,0,,260,0,2
2,95,car_flow_E#10.6,353.094,10.233,0,,260,0,2
2,95,car_flow_E#10.11,18.962,15.74,1,,260,0,2
2,95,car_flow_E#10.8,256.062,1.457,1,,260,0,2
2,100,car_flow_E#10.10,200.235,12.303,0,,260,0,2
2,100,car_flow_E#10.9,250.964,0.028,0,,260,0,2
2,100,car_flow_E#10.8,257.49,0.011,0,,260,0,2
2,100,car_flow_E#10.6,363.331,0,0,,260,0,2
2,100,car_flow_E#10.12,44.142,14.508,1,,260,0,2
2,100,car_flow_E#10.11,97.978,15.792,1,,260,0,2
2,100,car_flow_E#10.7,357.3,2.085,1,,260,0,2
2,105,car_flow_E#10.13,55.248,12.695,0,,260,0,2
2,105,car_flow_E#10.10,247.992,8.901,0,,260,0,2
2,105,car_flow_E#10.9,267.043,8.211,0,,260,0,2
2,105,car_flow_E#10.8,279.763,9.772,0,,260,0,2
2,105,car_flow_E#10.6,363.331,0,0,,260,0,2
2,105,car_flow_E#10.12,116.474,14.402,1,,260,0,2
2,105,car_flow_E#10.11,176.892,15.884,1,,260,0,2
2,105,car_flow_E#10.7,362.519,0,1,,260,0,2
2,110,car_flow_E#10.13,118.484,12.685,0,,260,0,0
2,110,car_flow_E#10.10,305.851,12.197,0,,260,0,0
2,110,car_flow_E#10.9,327.834,13.335,0,,260,0,0
2,110,car_flow_E#10.8,349.35,15.171,0,,260,0,0
2,110,car_flow_E#10.12,188.212,14.269,1,,260,0,0
2,110,car_flow_E#10.11,226.656,10.351,1,,260,0,0
2,115,car_flow_E#10.13,181.727,12.595,0,,260,0,2
2,115,car_flow_E#10.11,255.791,1.69,0,,260,0,2
2,115,car_flow_E#10.10,346.553,2.806,0,,260,0,2
2,115,car_flow_E#10.8,363.52,0,0,,260,0,2
2,115,car_flow_E#10.12,229.904,8.683,1,,260,0,2
2,115,car_flow_E#10.9,356.765,0.303,1,,260,0,2
2,120,car_flow_E#10.13,235.978,7.07,0,,260,0,1
2,120,car_flow_E#10.12,255.81,1.654,0,,260,0,1
2,120,car_flow_E#10.11,290.953,12.641,0,,260,0,1
2,120,car_flow_E#10.14,53.145,13.747,1,,260,0,1
2,120,car_flow_E#10.10,357.355,4.518,1,,260,0,1
3,30,car_flow_E#10.0,9.17,12.363,0,,260,0,0
3,35,car_flow_E#10.0,71.109,12.414,0,,260,0,0
3,40,car_flow_E#10.1,62.596,14.204,0,,260,0,0
3,40,car_flow_E#10.0,133.192,12.405,0,,260,0,0
3,40,car_flow_E#10.3,3.011,15.182,1,,260,0,0
3,45,car_flow_E#10.2,16.239,9.645,0,,260,0,0
3,45,car_flow_E#10.1,134.152,14.41,0,,260,0,0
3,45,car_flow_E#10.0,195.485,12.547,0,,260,0,0
3,45,car_flow_E#10.3,78.609,15.15,1,,260,0,0
3,50,car_flow_E#10.2,65.058,9.624,0,,260,0,0
3,50,car_flow_E#10.1,205.46,14.183,0,,260,0,0
3,50,car_flow_E#10.0,257.627,12.329,0,,260,0,0
3,50,car_flow_E#10.4,56.583,15.625,1,,260,0,0
3,50,car_flow_E#10.3,154.149,15.108,1,,260,0,0
3,55,car_flow_E#10.5,61.451,14.697,0,,260,0,0
3,55,car_flow_E#10.2,113.882,9.804,0,,260,0,0
3,55,car_flow_E#10.1,276.886,14.235,0,,260,0,0
3,55,car_flow_E#10.0,319.759,12.429,0,,260,0,0
3,55,car_flow_E#10.4,134.898,15.612,1,,260,0,0
3,55,car_flow_E#10.3,200.088,9.427,1,,260,0,0
3,60,car_flow_E#10.5,131.228,11.641,0,,260,0,0
3,60,car_flow_E#10.2,160.75,7.375,0,,260,0,0
3,60,car_flow_E#10.1,348.173,14.215,0,,260,0,0
3,60,car_flow_E#10.4,175.952,4.708,1,,260,0,0
3,60,car_flow_E#10.3,248.543,5.263,1,,260,0,0
3,65,car_flow_E#10.6,15.001,11.777,0,,260,0,0
3,65,car_flow_E#10.5,187.016,10.657,0,,260,0,0
3,65,car_flow_E#10.2,207.863,9.836,0,,260,0,0
3,65,car_flow_E#10.3,282.076,11.296,0,,260,0,0
3,65,car_flow_E#10.1,363.52,0,0,,260,0,0
3,65,car_flow_E#10.7,18.665,14.417,1,,260,0,0
3,65,car_flow_E#10.4,195.895,6.939,1,,260,0,0
3,70,car_flow_E#10.6,74.468,11.871,0,,260,0,0
3,70,car_flow_E#10.5,238.331,10.013,0,,260,0,0
3,70,car_flow_E#10.2,256.747,9.697,0,,260,0,0
3,70,car_flow_E#10.3,341.964,7.44,0,,260,0,0
3,70,car_flow_E#10.1,363.52,0,0,,260,0,0
3,70,car_flow_E#10.8,31.048,15.472,1,,260,0,0
3,70,car_flow_E#10.7,90.163,14.296,1,,260,0,0
3,70,car_flow_E#10.4,244.685,6.636,1,,260,0,0
3,75,car_flow_E#10.9,41.988,14.968,0,,260,0,0
3,75,car_flow_E#10.6,133.78,11.989,0,,260,0,0
3,75,car_flow_E#10.5,275.959,11.25,0,,260,0,0
3,75,car_flow_E#10.2,305.871,9.775,0,,260,0,0
3,75,car_flow_E#10.1,363.52,0,0,,260,0,0
3,75,car_flow_E#10.8,108.218,15.302,1,,260,0,0
3,75,car_flow_E#10.7,161.68,14.227,1,,260,0,0
3,75,car_flow_E#10.4,256.11,1.375,1,,260,0,0
3,75,car_flow_E#10.3,362.519,0.006,1,,260,0,0
3,80,car_flow_E#10.9,117.155,15.091,0,,260,0,0
3,80,car_flow_E#10.6,193.148,12.004,0,,260,0,0
3,80,car_flow_E#10.4,279.466,10.035,0,,260,0,0
3,80,car_flow_E#10.5,333.579,10.784,0,,260,0,0
3,80,car_flow_E#10.2,354.862,9.88,0,,260,0,0
3,80,car_flow_E#10.8,175.199,11.542,1,,260,0,0
3,80,car_flow_E#10.7,203.358,8.697,1,,260,0,0
3,85,car_flow_E#10.9,192.471,15.145,0,,260,0,2
3,85,car_flow_E#10.6,248.17,7.104,0,,260,0,2
3,85,car_flow_E#10.4,336.881,9.054,0,,260,0,2
3,85,car_flow_E#10.2,363.409,0,0,,260,0,2
3,85,car_flow_E#10.8,204.732,6.815,1,,260,0,2
3,85,car_flow_E#10.7,248.506,3.726,1,,260,0,2
3,85,car_flow_E#10.5,357.935,2.774,1,,260,0,2
3,90,car_flow_E#10.9,246.994,4.697,0,257.334,260,2.666,0
3,90,car_flow_E#10.6,301.337,11.879,0,257.334,260,2.666,0
3,90,car_flow_E#10.8,243.336,3.253,1,257.334,260,2.666,0
3,90,car_flow_E#10.7,257.334,0.198,1,257.334,260,2.666,0
3,90,car_flow_E#10.4,357.439,1.462,1,257.334,260,2.666,0
3,95,car_flow_E#10.10,52.245,10.73,0,245.615,260,14.385,0
3,95,car_flow_E#10.9,251.468,1.14,0,245.615,260,14.385,0
3,95,car_flow_E#10.7,259.042,2.461,0,245.615,260,14.385,0
3,95,car_flow_E#10.6,356.998,11.834,0,245.615,260,14.385,0
3,95,car_flow_E#10.11,54.089,14.507,1,245.615,260,14.385,0
3,95,car_flow_E#10.8,245.615,0,1,245.615,260,14.385,0
3,100,car_flow_E#10.12,53.038,11.957,0,,260,0,0
3,100,car_flow_E#10.10,105.965,10.707,0,,260,0,0
3,100,car_flow_E#10.8,263.201,7.777,0,,260,0,0
3,100,car_flow_E#10.9,283.527,12.016,0,,260,0,0
3,100,car_flow_E#10.7,300.388,14.162,0,,260,0,0
3,100,car_flow_E#10.6,363.52,0,0,,260,0,0
3,100,car_flow_E#10.11,126.357,14.532,1,,260,0,0
3,105,car_flow_E#10.12,113.048,11.995,0,,260,0,0
3,105,car_flow_E#10.10,156.638,6.643,0,,260,0,0
3,105,car_flow_E#10.8,315.589,8.438,0,,260,0,0
3,105,car_flow_E#10.9,334.919,6.351,0,,260,0,0
3,105,car_flow_E#10.6,363.52,0,0,,260,0,0
3,105,car_flow_E#10.11,162.213,4.019,1,,260,0,0
3,105,car_flow_E#10.7,349.989,5.379,1,,260,0,0
3,110,car_flow_E#10.13,35.731,12.801,0,,260,0,0
3,110,car_flow_E#10.12,173.039,11.903,0,,260,0,0
3,110,car_flow_E#10.10,205.098,10.813,0,,260,0,0
3,110,car_flow_E#10.8,354.936,10.637,0,,260,0,0
3,110,car_flow_E#10.11,180.857,6.599,1,,260,0,0
3,110,car_flow_E#10.9,354.842,1.794,1,,260,0,0
3,110,car_flow_E#10.7,363.417,0,1,,260,0,0
3,115,car_flow_E#10.13,99.203,12.775,0,,260,0,0
3,115,car_flow_E#10.12,231.928,9.614,0,,260,0,0
3,115,car_flow_E#10.10,258.835,10.829,0,,260,0,0
3,115,car_flow_E#10.14,58.598,15,1,,260,0,0
3,115,car_flow_E#10.11,235.137,9.597,1,,260,0,0
