time_percent,avg_position_m,std_position_m,avg_speed_mps,std_speed_mps,avg_queuing_vehicles,std_queuing_vehicles,avg_velocity_deviation,std_velocity_deviation
1.0,22.92975,6.144253270333183,15.091,1.3494287680348316,0.0,0.0,0.0,0.0
2.0,39.185,9.601095874950941,16.0045,0.6173042199758562,0.0,0.0,0.0,0.0
3.0,27.2305,29.397964427830715,15.45,0.17394826817189163,0.0,,0.17394826817189163,
4.5,66.9672,35.43829909324405,16.1528,1.8022721954984124,0.0,0.0,0.6568011844678475,0.9667883626188504
5.0,74.29959041394336,38.88730770746413,14.03912091503268,1.3280303728815839,0.0,0.0,0.6206105757210093,0.7819221947253766
5.5,76.92759209545116,40.65855501227846,13.764923191648023,1.4499535136883748,0.0,0.0,0.7694072009097879,0.8494002665586748
6.0,78.13128947368422,39.025524645921216,13.576429824561403,1.4069622099587291,0.0,0.0,0.7912620325663791,0.7803168367000918
6.5,85.45686324786324,37.67891420160848,13.538521367521367,1.3854513244370301,0.0,0.0,0.7404346455542152,0.8985917751260277
7.0,73.50415217391304,40.399863257176385,13.5935,1.3394211477765732,0.0,0.0,0.6009832701226263,0.6596448400197131
7.5,79.63892307692308,42.49281496218221,13.781923076923077,1.5807246471971046,0.0,0.0,1.2097156846631727,1.112858591428648
8.0,111.04916666666668,28.734631575272843,13.4835,2.066517336002773,0.0,0.0,0.5520792704253017,1.1041585408506034
8.5,56.806,,13.516,,0.0,,0.0,
9.0,68.94725,12.382552412568252,14.3505,1.4973328509942827,0.0,0.0,1.7875659428395925,0.5770000000000001
9.5,109.9909375,61.50104107570728,15.236375,1.8845183602183346,0.0,0.0,0.8865786224252924,1.1710842159990293
10.5,112.7091800618238,61.47511381277103,13.925448222565686,1.4300217922803433,0.001937984496124031,0.044022545316281206,0.8942482042897766,0.8066748311836711
11.0,114.5771015625,60.027939933778754,13.275604687500001,2.239065511047284,0.06342494714587738,0.243983760511372,1.3064128139189535,1.3222219878096366
11.5,114.03755315315314,60.35940617360555,13.285277477477477,2.246439956647841,0.059907834101382486,0.25659088127797797,1.261418735866653,1.4797468544840626
12.0,111.38226625386997,60.636525078892646,13.108213622291023,2.471182103444683,0.1111111111111111,0.36619614533503436,1.3943656823638222,1.3353031486755387
13.0,119.22965838509316,59.116881489671115,12.717968944099379,2.65660338219304,0.14285714285714285,0.3527378107513293,1.4915953568478444,1.6664075314626312
13.5,88.942,50.09568701994214,14.552,1.6136176746677016,0.0,,1.6136176746677016,
14.0,114.36093333333334,60.44098300523866,13.449316666666666,1.7294648186764447,0.04,0.2,0.9729844579933982,1.151184530879118
14.5,139.0566818181818,95.78103418407073,14.942545454545455,1.87766046748842,0.0,0.0,1.328957963097858,0.9992870202381147
15.0,130.23978571428572,61.45252435470763,13.650357142857143,1.8311343103763205,0.0,0.0,1.7813506503931076,0.38601147422908444
15.5,147.50282183563286,81.69856132697821,13.287847630473905,2.3148154393355327,0.08333333333333333,0.30976554449556587,1.4933534793575494,1.3743240150067135
16.5,145.32392442563483,78.74823646637141,12.582022974607014,2.8049529069342953,0.129979035639413,0.3778013010684109,1.9639335737156407,1.5416839221203729
17.0,136.2215,19.7798979901313,14.268,2.7181184668810894,0.0,,2.7181184668810894,
17.5,150.46133771929823,77.77349480768972,12.77449269005848,2.6538674133016253,0.1152073732718894,0.34774282528612394,1.760731375573485,1.714227334067059
18.0,121.39337499999999,49.631634424995795,13.643625,1.490839354908119,0.0,0.0,1.255832204548569,0.9193997377064477
18.5,144.44224384236452,77.90285476185431,12.654948275862068,2.8151885404543804,0.13793103448275862,0.3705824258283622,2.01737578010476,1.5828111642584777
19.0,161.9305,42.371959649041486,14.59,1.4538115421195423,0.0,,1.4538115421195423,
19.5,146.71600421940929,83.21036757369833,12.413978902953586,3.0190826862645195,0.15714285714285714,0.4385653252520741,2.1756904849949428,1.7895988460870893
21.0,175.01507236842107,99.27929352596163,12.420343984962406,3.099744238520675,0.20702402957486138,0.4768983677107881,2.338634155295149,1.8254777419446973
22.0,176.29773996952767,95.05654488782245,11.95086185881158,3.270514184918456,0.27061310782241016,0.4900741949161742,2.669695014729867,1.7473149204028895
22.5,136.27766666666665,98.74004010700692,11.874666666666668,1.0933015747419987,0.0,,1.0933015747419987,
23.0,166.7469,75.2239930788463,11.592,2.82271149969782,0.2,0.447213595499958,1.878994256076935,1.2247649344006213
23.5,178.22302508960573,98.16654100881077,12.017313022700119,3.2479800093495084,0.22580645161290322,0.4808147207593842,2.51454953962272,1.894999665054375
24.0,167.671,94.90820116828681,11.504,5.633960329998783,0.0,,5.633960329998783,
24.5,171.18629582577134,97.6709237164989,12.075676950998186,3.302549791379459,0.29133858267716534,0.5361567559880469,2.7060798076197434,1.684342031191434
26.0,192.49560402684565,109.22687147403,10.955863255033556,4.336673179501573,0.6245136186770428,0.7180913737552714,3.8536183971293934,2.2290243692308653
26.5,176.46077016129033,95.45610722444597,11.868483870967742,3.3942308364928153,0.27419354838709675,0.6051515143891902,2.64791514668063,1.5857044377546987
27.0,121.554875,82.23670091603609,11.520625,4.263515314770866,1.0,0.0,4.77494475942037,1.1214489387846527
27.5,195.48191864555847,105.79073993997324,10.834914248021109,4.230718501020637,0.6413502109704642,0.77627278811962,3.7342860732639185,2.0047333768232845
28.0,156.86866666666666,113.38653190686567,13.1145,1.1089343984203934,0.0,,1.1089343984203934,
28.5,168.52455882352942,98.8354717911023,12.455196078431372,2.9494472683700175,0.2,0.40824829046386296,2.133678532102854,1.7119836136564381
29.0,199.21452659019812,108.12659091315179,10.804826903023983,4.280267408342191,0.5879629629629629,0.796295795524951,3.589678419981271,2.285288413079585
29.5,184.73230232558137,106.8325751864938,10.490883720930233,4.503572831437503,0.75,0.7071067811865476,3.8916472958426787,2.2418978275367247
30.5,193.94542105263156,91.39781736229068,10.411,4.468481136434019,0.75,0.5,3.9610518562853763,1.6782454694583753
31.0,191.2087426597582,105.0244131068939,11.086309153713298,4.136924078747924,0.5517241379310345,0.7950370796516283,3.4193852149867245,2.0081470022995593
31.5,204.19559115384615,109.23648245602061,10.082160769230768,4.973438250841758,0.9825242718446602,0.9530237751724625,4.523915873700552,2.198896184393061
32.5,177.2264,146.70620879260701,12.7036,2.1350511235096916,0.0,,2.1350511235096916,
33.0,206.8618488330341,108.77929343615071,10.006501256732495,4.830997403853217,0.9925788497217068,1.027475988014263,4.212383634966617,2.077331730774483
33.5,194.80057142857143,120.69614808664105,12.154857142857143,3.257171136051007,0.0,,3.257171136051007,
